#  idx     temp           <En>           fluEn          <rho>          flurho          <En2>         fluEn2          <EnN>          fluEnN         <phi>          fluphi         <phi2>        fluphi2         <phi4>        fluphi4        <theta>        flutheta       <theta2>       flutheta2      <theta4>      flutheta4        <Q>            fluQ           <Q2>           fluQ2          <Q4>          fluQ4           <N2>           fluN2 
#-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  12   8.440000e-01   -1.347750e+03   5.734230e+00   9.778253e-01   8.812133e-06   1.823133e+06   1.549011e+04   -3.036881e+06   1.291730e+04   7.870249e-03   2.443835e-06   7.969520e-05   5.405835e-08   1.000000e-08   7.090120e-25   8.020072e-01   1.521821e-04   6.458731e-01   2.231943e-04   4.234430e-01   2.555576e-04   8.314719e-01   1.436325e-04   6.936503e-01   2.195993e-04   4.870229e-01   2.707869e-04   5.075714e+06   9.125185e+00 
  13   8.447500e-01   -1.341536e+03   5.884725e+00   9.774674e-01   8.200947e-06   1.806676e+06   1.584400e+04   -3.021796e+06   1.325340e+04   7.954912e-03   2.945046e-06   8.143620e-05   6.558925e-08   1.840000e-08   5.237229e-10   7.975772e-01   1.408024e-04   6.389653e-01   2.051757e-04   4.149147e-01   2.313910e-04   8.274263e-01   1.329247e-04   6.870999e-01   2.022062e-04   4.783292e-01   2.458081e-04   5.072004e+06   8.488865e+00 
  14   8.455000e-01   -1.341652e+03   5.263233e+00   9.770856e-01   1.109468e-05   1.806888e+06   1.407912e+04   -3.020911e+06   1.185331e+04   8.047005e-03   3.364366e-06   8.337060e-05   7.730850e-08   2.000000e-08   1.418024e-24   7.924739e-01   2.170984e-04   6.312839e-01   2.855462e-04   4.057919e-01   2.910281e-04   8.227439e-01   2.021099e-04   6.797553e-01   2.826588e-04   4.689427e-01   3.127234e-04   5.068047e+06   1.146612e+00 
  15   8.462500e-01   -1.334164e+03   5.691355e+00   9.766825e-01   1.083414e-05   1.787310e+06   1.514928e+04   -3.002844e+06   1.280374e+04   8.144710e-03   3.510705e-06   8.544080e-05   8.115887e-08   2.000000e-08   1.418024e-24   7.872462e-01   1.959371e-04   6.232856e-01   2.734126e-04   3.962447e-01   2.989719e-04   8.179232e-01   1.842160e-04   6.720953e-01   2.699488e-04   4.590954e-01   3.188166e-04   5.063872e+06   1.120769e+00 
  16   8.470000e-01   -1.314974e+03   5.321013e+00   9.762791e-01   1.434833e-05   1.736447e+06   1.407292e+04   -2.958465e+06   1.198282e+04   8.240819e-03   4.014228e-06   8.748120e-05   9.517916e-08   2.000000e-08   1.418024e-24   7.820483e-01   2.935911e-04   6.154053e-01   3.880219e-04   3.869009e-01   3.950851e-04   8.131517e-01   2.763385e-04   6.645630e-01   3.866138e-04   4.494651e-01   4.274220e-04   5.059694e+06   1.482190e+00 
  17   8.477500e-01   -1.302634e+03   5.462700e+00   9.758319e-01   1.253874e-05   1.704529e+06   1.411443e+04   -2.929407e+06   1.229161e+04   8.344474e-03   3.635984e-06   8.972480e-05   8.615422e-08   2.000000e-08   1.418024e-24   7.758885e-01   2.573246e-04   6.062723e-01   3.334674e-04   3.764596e-01   3.339365e-04   8.074445e-01   2.437965e-04   6.557413e-01   3.342981e-04   4.385681e-01   3.627939e-04   5.055067e+06   1.294097e+00
  18   8.485000e-01   -1.311158e+03   4.963367e+00   9.753513e-01   1.474253e-05   1.726908e+06   1.302927e+04   -2.947167e+06   1.116018e+04   8.459431e-03   4.096690e-06   9.226720e-05   9.454166e-08   2.000000e-08   1.418024e-24   7.689472e-01   2.943619e-04   5.962152e-01   3.806305e-04   3.653273e-01   3.776903e-04   8.009876e-01   2.778585e-04   6.459686e-01   3.805821e-04   4.268636e-01   4.098949e-04   5.050098e+06   1.521658e+00 
  19   8.492500e-01   -1.296561e+03   6.827148e+00   9.748689e-01   1.471583e-05   1.690245e+06   1.786367e+04   -2.912969e+06   1.534075e+04   8.577829e-03   3.881215e-06   9.491020e-05   9.364130e-08   2.000000e-08   1.418024e-24   7.621429e-01   3.166653e-04   5.863534e-01   3.937797e-04   3.544368e-01   3.695020e-04   7.946426e-01   3.017930e-04   6.363770e-01   3.977569e-04   4.153978e-01   4.062648e-04   5.045112e+06   1.516916e+00 
  20   8.500000e-01   -1.286259e+03   5.842108e+00   9.743466e-01   1.565295e-05   1.663434e+06   1.506967e+04   -2.888334e+06   1.310755e+04   8.698385e-03   3.945205e-06   9.765840e-05   1.001559e-07   2.000000e-08   1.418024e-24   7.544045e-01   3.655330e-04   5.754785e-01   4.184583e-04   3.428536e-01   3.634599e-04   7.874402e-01   3.450739e-04   6.257548e-01   4.244892e-04   4.031145e-01   4.028043e-04   5.039716e+06   1.611361e+00 
  21   8.507500e-01   -1.278163e+03   5.473489e+00   9.737343e-01   2.307613e-05   1.643042e+06   1.400184e+04   -2.868438e+06   1.228356e+04   8.843697e-03   5.608380e-06   1.010260e-04   1.438591e-07   2.060000e-08   3.392669e-10   7.444873e-01   5.792486e-04   5.620369e-01   6.582335e-04   3.291888e-01   5.439786e-04   7.781308e-01   5.487925e-04   6.124869e-01   6.717570e-04   3.884418e-01   6.114787e-04   5.033397e+06   2.373295e+00 
